ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_REVENUE,YEAR,MONTH
10223,29.0,100.0,8,3199.86,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Planes,118.0,S700_2834,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2900.0,2004,2
10148,34.0,100.0,3,4392.12,2003-09-11T00:00:00.000Z,Shipped,3,9,2003,Classic Cars,117.0,S24_2887,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,3400.0,2003,9
10169,36.0,63.84,3,2298.24,2003-11-04T00:00:00.000Z,Shipped,4,11,2003,Classic Cars,79.0,S12_3990,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2298.2400000000002,2003,11
10148,27.0,100.0,7,3469.5,2003-09-11T00:00:00.000Z,Shipped,3,9,2003,Classic Cars,107.0,S24_3432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,2700.0,2003,9
10342,38.0,100.0,11,6276.46,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,148.0,S18_4721,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3800.0,2004,11
10127,42.0,100.0,1,8138.76,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Classic Cars,173.0,S12_3891,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Large,4200.0,2003,6
10120,47.0,82.21,13,3863.87,2003-04-29T00:00:00.000Z,Shipped,2,4,2003,Planes,91.0,S700_1691,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3863.87,2003,4
10342,30.0,100.0,4,5029.5,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,169.0,S18_3232,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3000.0,2004,11
10120,46.0,100.0,2,9264.86,2003-04-29T00:00:00.000Z,Shipped,2,4,2003,Motorcycles,193.0,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4600.0,2003,4
10347,21.0,58.95,7,1237.95,2004-11-29T00:00:00.000Z,Shipped,4,11,2004,Vintage Cars,53.0,S18_1367,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,1237.95,2004,11
10347,48.0,100.0,9,4814.4,2004-11-29T00:00:00.000Z,Shipped,4,11,2004,Vintage Cars,101.0,S18_2949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,4800.0,2004,11
